Player,Min,90s,Age,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Nation,Pos,Comp,Squad,Cluster_KMeans,DBSCAN_Label
Aaron Ciammaglichella,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,MF,Serie A,Torino,2,0
Aaron Cresswell,824.0,9.2,34.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,1.3,1.6,6.0,36.0,4.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17,ENG,DF,Premier League,West Ham,2,0
Aaron Malouda,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,FW,Ligue 1,Lille,2,0
Aaron Ramsdale,2700.0,30.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG,GK,Premier League,Southampton,2,0
Aaron Wan-Bissaka,3154.0,35.0,26.0,2.0,5.0,7.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,3.5,4.7,110.0,149.0,167.0,0.05999999999999999,0.14,0.2,0.029999999999999995,0.1,0.14,0.029999999999999995,0.14,COD,DF,Premier League,West Ham,5,0
Aarón Martín,3085.0,34.3,27.0,0.0,8.0,8.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,5.5,6.4,50.0,90.0,108.0,0.0,0.23,0.23,0.03,0.16,0.19,0.03,0.19,ESP,DF,Serie A,Genoa,0,0
Abakar Sylla,950.0,10.6,21.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.4,0.4,0.1,0.5,0.0,21.0,3.0,0.09,0.0,0.09,0.04,0.01,0.05,0.04,0.05,CIV,DF,Ligue 1,Strasbourg,3,0
Abdallah Sima,1238.0,13.8,23.0,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,5.9,5.9,1.0,6.9,36.0,24.0,92.0,0.51,0.15,0.65,0.43000000000000005,0.07,0.5,0.43000000000000005,0.5,SEN,"FW,MF",Ligue 1,Brest,1,0
Abde Ezzalzouli,1984.0,22.0,22.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,8.0,7.2,2.0,9.3,117.0,68.0,215.0,0.09,0.09,0.18,0.36,0.09,0.46,0.33,0.42,MAR,"FW,MF",La Liga,Betis,5,0
Abde Rebbach,385.0,4.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,16.0,5.0,34.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,ALG,"FW,MF",La Liga,Alavés,2,0
Abdel Abqar,2463.0,27.4,25.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.9000000000000001,0.9000000000000001,0.3,1.2,16.0,79.0,4.0,0.0,0.04,0.04,0.03,0.01,0.04,0.03,0.04,MAR,DF,La Liga,Alavés,0,0
Abdou Harroui,463.0,5.1,26.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2,2.2,0.4,2.6,23.0,21.0,34.0,0.19,0.38999999999999996,0.58,0.43,0.09000000000000001,0.51,0.43,0.51,NED,"MF,FW",Serie A,Hellas Verona,1,0
Abdoul Koné,133.0,1.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRA,DF,Ligue 1,Reims,2,0
Abdoul Ouattara,471.0,5.2,18.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,7.0,18.0,14.0,0.19,0.19,0.38,0.06,0.1,0.16,0.06,0.16,FRA,"DF,FW",Ligue 1,Strasbourg,2,0
Abdoulaye Bamba,1510.0,16.8,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,1.0,16.0,3.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,CIV,DF,Ligue 1,Angers,2,0
Abdoulaye Doucouré,2564.0,28.5,31.0,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,4.1,4.1,2.4,6.599999999999999,42.0,82.0,96.0,0.11000000000000001,0.07,0.18,0.15,0.09,0.23,0.15,0.23,MLI,MF,Premier League,Everton,3,0
Abdoulaye Keita,95.0,1.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,ESP,"FW,MF",La Liga,Getafe,2,0
Abdoulaye Niakhate Ndiaye,1707.0,19.0,22.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,5.0,39.0,4.0,0.05,0.0,0.05,0.05,0.0,0.05,0.05,0.05,SEN,DF,Ligue 1,Brest,3,0
Abdoulaye Touré,2324.0,25.8,30.0,10.0,1.0,11.0,2.0,8.0,9.0,5.0,0.0,9.4,2.2,0.4,2.6,17.0,109.0,28.0,0.39,0.04,0.43,0.37,0.02,0.38,0.08,0.1,GUI,MF,Ligue 1,Le Havre,0,0
Abdoulie Ceesay,60.0,0.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.029999999999999995,0.029999999999999995,0.0,0.029999999999999995,GAM,FW,Bundesliga,St. Pauli,2,0
Abdukodir Khusanov,814.3667117726658,9.030311231393775,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6596752368064953,0.6596752368064953,0.13193504736129905,0.13193504736129905,0.23193504736129905,0.4298376184032476,1.6596752368064953,36.87415426251692,4.638700947225981,0.0,0.0,0.0,0.013193504736129905,0.026596752368064955,0.03979025710419486,0.013193504736129905,0.03979025710419486,UZB,DF,Ligue 1,Lens,2,0
Abdul Fatawu Issahaku,579.0,6.4,20.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.6,2.0,42.0,17.0,60.0,0.0,0.31,0.31,0.060000000000000005,0.24000000000000002,0.31,0.060000000000000005,0.31,GHA,FW,Premier League,Leicester City,2,0
Abdul Mumin,2017.0,22.4,26.0,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.6,0.6,0.2,0.8,12.0,40.0,6.0,0.09,0.04,0.13,0.03,0.01,0.03,0.03,0.03,GHA,DF,La Liga,Rayo Vallecano,3,0
Abdulai Juma Bah,785.2206451612903,8.71483870967742,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4425806451612904,0.0,0.21148387096774193,0.21148387096774193,0.08851612903225807,0.3,1.3277419354838709,11.22967741935484,1.0,0.0,0.0,0.0,0.021148387096774194,0.008851612903225807,0.03,0.021148387096774194,0.03,SLE,DF,Ligue 1,Lens,2,0
Abdón Prats,456.0,5.1,31.0,2.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,2.2,1.5,0.1,1.6,0.0,7.0,14.0,0.39,0.0,0.39,0.45,0.03,0.47,0.29,0.32000000000000006,ESP,"FW,MF",La Liga,Mallorca,1,0
Abel Bretones,2074.0,23.0,23.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.5,0.5,1.0,1.6,50.0,77.0,92.0,0.09,0.0,0.09,0.02,0.05,0.07,0.02,0.07,ESP,DF,La Liga,Osasuna,0,0
Abel Ruiz,1346.0,15.0,24.0,4.0,0.0,4.0,3.0,1.0,2.0,3.0,0.0,4.6,3.0,0.5,3.5,21.0,23.0,71.0,0.27,0.0,0.27,0.31,0.029999999999999995,0.34,0.19999999999999998,0.23000000000000004,ESP,FW,La Liga,Girona,0,0
Abner,1090.0,12.1,24.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,31.0,66.0,55.0,0.08,0.08,0.17,0.05,0.09,0.14,0.05,0.14,BRA,DF,Ligue 1,Lyon,0,0
Aboubacar Bassinga,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIV,MF,La Liga,Las Palmas,2,0
Achraf Hakimi,2066.0,23.0,25.0,4.0,6.0,10.0,4.0,0.0,0.0,4.0,0.0,2.9,2.9,6.2,9.1,93.0,183.0,273.0,0.17,0.26,0.44,0.13,0.27,0.4,0.13,0.4,MAR,DF,Ligue 1,Paris S-G,5,0
Adam Armstrong,1248.0,13.9,27.0,2.0,2.0,4.0,2.0,0.0,1.0,4.0,0.0,3.3,2.3,1.2,3.5,25.0,21.0,79.0,0.14,0.14,0.29,0.24,0.09,0.32,0.17,0.25,ENG,"FW,MF",Premier League,Southampton,0,0
Adam Aznou,859.6472564389697,9.519148936170211,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809630459126539,0.0,0.2942889137737962,0.2942889137737962,0.2942889137737962,0.5885778275475924,15.695408734602463,24.543113101903696,25.543113101903696,0.0,0.0,0.0,0.029428891377379616,0.029428891377379616,0.05885778275475923,0.029428891377379616,0.05885778275475923,MAR,DF,Bundesliga,Bayern Munich,2,0
Adam Dźwigała,373.0,4.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.0,0.4,1.0,14.0,4.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,POL,"DF,MF",Bundesliga,St. Pauli,3,0
Adam Hložek,1871.0,20.8,22.0,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,5.6,5.6,3.5,9.1,54.0,68.0,102.0,0.38,0.19,0.58,0.27,0.17000000000000004,0.44,0.27,0.44,CZE,"FW,MF",Bundesliga,Hoffenheim,1,0
Adam Lallana,361.0,4.0,36.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9000000000000001,1.1,6.0,24.0,10.0,0.0,0.5,0.5,0.04,0.23,0.27,0.04,0.27,ENG,MF,Premier League,Southampton,0,0
Adam Marušić,2337.0,26.0,31.0,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,0.6,2.6,23.0,84.0,108.0,0.15,0.0,0.15,0.08,0.02,0.1,0.08,0.1,MNE,DF,Serie A,Lazio,0,0
Adam Masina,1919.0,21.3,30.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,0.3,1.0,15.0,73.0,10.0,0.05,0.08999999999999998,0.14,0.03,0.01,0.05,0.03,0.05,MAR,DF,Serie A,Torino,0,0
Adam Obert,1077.0,12.0,21.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.4,1.3,12.0,50.0,19.0,0.08,0.08,0.17,0.07,0.030000000000000002,0.11,0.07,0.11,SVK,DF,Serie A,Cagliari,0,0
Adam Smith,1590.0,17.7,33.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.7,0.7,0.4,1.1,15.0,49.0,34.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,ENG,DF,Premier League,Bournemouth,0,0
Adam Webster,887.0,9.9,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,8.0,63.0,2.0,0.0,0.0,0.0,0.03,0.05,0.08000000000000002,0.03,0.08000000000000002,ENG,DF,Premier League,Brighton,2,0
Adam Wharton,1318.0,14.6,20.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,3.0,3.4,14.0,107.0,11.0,0.0,0.14,0.14,0.03,0.21,0.22999999999999998,0.03,0.22999999999999998,ENG,MF,Premier League,Crystal Palace,0,0
Adama Boiro,1101.0,12.2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.5,0.7,25.0,46.0,36.0,0.0,0.0,0.0,0.02,0.04,0.060000000000000005,0.02,0.060000000000000005,ESP,"DF,FW",La Liga,Athletic Club,2,0
Adama Traoré,1772.0,19.7,28.0,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,4.0,4.0,4.9,8.9,100.0,68.0,161.0,0.1,0.36,0.46,0.2,0.25,0.45,0.2,0.45,ESP,"FW,MF",Premier League,Fulham,5,0
Ademola Lookman,2247.0,25.0,26.0,15.0,5.0,20.0,14.0,1.0,1.0,4.0,0.0,10.3,9.5,7.1,16.7,142.0,73.0,316.0,0.6,0.2,0.8,0.41,0.29,0.7,0.38,0.67,NGA,"MF,FW",Serie A,Atalanta,5,0
Adnan Januzaj,598.0,6.6,29.0,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.8,0.8,1.1,1.9000000000000001,24.0,41.0,58.0,0.3,0.15,0.45,0.13,0.16,0.29,0.13,0.29,BEL,"MF,FW",La Liga,Las Palmas,0,0
Ado Onaiwu,957.0,10.6,28.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,1.0,4.0,4.0,1.1,5.1,17.0,33.0,74.0,0.38,0.09,0.47,0.37,0.1,0.47,0.37,0.47,JPN,"MF,FW",Ligue 1,Auxerre,1,0
Adri Embarba,1607.0,17.9,32.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.1,2.1,2.7,4.8,47.0,45.0,114.0,0.06,0.06,0.11,0.12,0.15,0.27,0.12,0.27,ESP,"FW,MF",La Liga,Rayo Vallecano,0,0
Adrian Baquerin,49.0,0.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71,ESP,FW,La Liga,Valladolid,2,0
Adrian Beck,1598.0,17.8,27.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,3.3,3.3,1.2,4.5,37.0,69.0,83.0,0.23,0.06,0.28,0.18,0.07,0.25,0.18,0.25,GER,"MF,FW",Bundesliga,Heidenheim,0,0
Adrian Benedyczak,214.0,2.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,3.0,3.0,12.0,0.0,0.0,0.0,0.11,0.02,0.13,0.11,0.13,POL,"FW,MF",Serie A,Parma,2,0
Adrian Bernabe,1453.0,16.1,23.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,1.1,2.4,37.0,115.0,20.0,0.06,0.06,0.12,0.08,0.07,0.15,0.08,0.15,ESP,MF,Serie A,Parma,0,0
Adrian Niño,12.0,0.10000000000000002,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.20000000000000004,0.0,0.20000000000000004,0.0,0.0,1.0,0.0,0.0,0.0,1.4400000000000002,0.0,1.4400000000000002,1.4400000000000002,1.4400000000000002,ESP,FW,La Liga,Atlético Madrid,1,0
Adrian Rodriguez,122.0,1.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,GK,La Liga,Alavés,2,0
Adrien Rabiot,2485.0,27.6,29.0,9.0,4.0,13.0,9.0,0.0,0.0,4.0,0.0,7.3,7.3,3.8,11.1,79.0,168.0,174.0,0.33,0.14,0.47000000000000003,0.26,0.14,0.4,0.26,0.4,FRA,MF,Ligue 1,Marseille,5,0
Adrien Tameze,649.0,7.2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.8,1.2,16.0,23.0,21.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17,CMR,"MF,DF",Serie A,Torino,2,0
Adrien Thomasson,2615.0,29.1,30.0,3.0,7.0,10.0,3.0,0.0,0.0,7.0,0.0,5.9,5.9,6.0,11.9,30.0,149.0,138.0,0.1,0.24000000000000002,0.34,0.2,0.21,0.41,0.2,0.41,FRA,MF,Ligue 1,Lens,5,0
Adrien Truffert,2752.0,30.599999999999998,22.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,2.4,2.3,3.1999999999999997,5.5,69.0,104.0,243.0,0.07,0.07,0.13,0.08,0.11000000000000001,0.18,0.08,0.18,FRA,"DF,MF",Ligue 1,Rennes,5,0
Adrià Altimira,1630.0,18.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.3,0.3,0.5,0.8,23.0,42.0,69.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,ESP,"DF,FW",La Liga,Leganés,0,0
Adrià Pedrosa,2298.0,25.5,26.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.9000000000000001,0.9000000000000001,1.6,2.5,41.0,79.0,96.0,0.04,0.04,0.08,0.04,0.06,0.1,0.04,0.1,ESP,DF,La Liga,Sevilla,0,0
Adrián,1710.0,19.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,GK,La Liga,Betis,2,0
Adryelson,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BRA,DF,Ligue 1,Lyon,2,0
Adu Ares,19.0,0.2,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,FW,La Liga,Athletic Club,2,0
Aihen Muñoz,1098.0,12.2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.3,0.4,26.0,38.0,28.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,ESP,DF,La Liga,Real Sociedad,0,0
Aimar Oroz,2966.0,33.0,22.0,5.0,4.0,9.0,4.0,1.0,1.0,8.0,0.0,4.2,3.5,2.9,6.5,74.0,163.0,142.0,0.15,0.11999999999999998,0.27,0.13,0.09,0.22,0.11,0.2,ESP,MF,La Liga,Osasuna,5,0
Aimen Moueffek,1039.0,11.5,23.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,1.1,2.2,20.0,43.0,31.0,0.0,0.09,0.09,0.09,0.1,0.19,0.09,0.19,FRA,MF,Ligue 1,Saint-Étienne,2,0
Aingeru Olabarrieta,54.0,0.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,FW,La Liga,Athletic Club,2,0
Ainsley Maitland-Niles,1985.0,22.1,26.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,2.9,2.9,3.4,6.4,33.0,102.0,110.0,0.05,0.18,0.23,0.13,0.16,0.29,0.13,0.29,ENG,DF,Ligue 1,Lyon,0,0
Aitor Fernández,90.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,GK,La Liga,Osasuna,2,0
Aitor Paredes,1812.0,20.1,24.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,2.3,2.3,0.1,2.3,4.0,46.0,2.0,0.15,0.0,0.15,0.11,0.0,0.12,0.11,0.12,ESP,DF,La Liga,Athletic Club,3,0
Aitor Ruibal,1313.0,14.6,28.0,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,2.4,3.3,21.0,50.0,64.0,0.07,0.21000000000000002,0.27,0.06,0.17,0.23,0.06,0.23,ESP,"DF,FW",La Liga,Betis,0,0
Akor Adams,970.7038875103391,10.74731182795699,24.0,2.667493796526055,0.8891645988420182,3.5566583953680726,2.667493796526055,0.0,0.0,1.7783291976840363,0.0,3.8677419354838714,3.8677419354838714,0.8891645988420182,4.756906534325889,9.7808105872622,5.889164598842018,40.56658395368073,0.22229114971050454,0.07113316790736146,0.293424317617866,0.35224152191894126,0.07113316790736146,0.4233746898263027,0.35224152191894126,0.4233746898263027,NGA,FW,Ligue 1,Montpellier,1,0
Alan Matturro,900.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.4,12.0,15.0,9.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,URU,DF,Serie A,Genoa,2,0
Alassane Pléa,1902.0,21.1,31.0,11.0,4.0,15.0,10.0,1.0,1.0,3.0,0.0,7.4,6.6,3.1,9.8,51.0,116.0,141.0,0.52,0.19,0.71,0.35,0.15,0.5,0.31,0.46,FRA,"MF,FW",Bundesliga,Gladbach,5,0
Alban Lafont,1080.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIV,GK,Ligue 1,Nantes,2,0
Albert Grønbaek,712.7803347280335,7.893096234309624,23.0,1.700836820083682,0.850418410041841,2.551255230125523,1.700836820083682,0.0,0.0,0.850418410041841,0.0,1.2905857740585773,1.2905857740585773,0.850418410041841,2.141004184100418,19.709205020920503,25.66213389121339,49.77301255230125,0.18709205020920502,0.09354602510460251,0.2806380753138076,0.1550418410041841,0.10354602510460252,0.2500836820083682,0.1550418410041841,0.2500836820083682,DEN,"FW,MF",Ligue 1,Rennes,2,0
Albert Guðmundsson,1273.0,14.1,27.0,6.0,1.0,7.0,4.0,2.0,2.0,2.0,0.0,4.5,2.9,1.8,4.8,35.0,37.0,59.0,0.42,0.07,0.49,0.32,0.13,0.45,0.21,0.34,ISL,"FW,MF",Serie A,Fiorentina,1,0
Albert Sambi Lokonga,1471.0,16.3,24.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,1.0,1.9000000000000001,24.0,93.0,20.0,0.0,0.11999999999999998,0.11999999999999998,0.05999999999999999,0.05999999999999999,0.11999999999999998,0.05999999999999999,0.11999999999999998,BEL,MF,La Liga,Sevilla,0,0
Alberto Cerri,87.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,1.05,0.0,1.05,1.05,1.05,ITA,FW,Serie A,Como,1,0
Alberto Dossena,1825.0,20.3,25.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.7,1.5,4.0,36.0,1.0,0.0,0.1,0.1,0.04,0.03,0.07,0.04,0.07,ITA,DF,Serie A,Como,3,0
Alberto Grassi,2203.0,24.5,29.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,0.8,1.9,18.0,74.0,24.0,0.04,0.0,0.04,0.04,0.030000000000000002,0.08,0.04,0.08,ITA,MF,Serie A,Empoli,0,0
Alberto Manzoni,6.0,0.10000000000000002,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000002,0.10000000000000002,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,ITA,MF,Serie A,Atalanta,1,0
Alberto Marí,7.0,0.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP,FW,La Liga,Valencia,2,0
Alberto Moleiro,2714.0,30.200000000000003,20.0,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,5.6,5.6,3.2999999999999994,8.9,97.0,116.0,179.0,0.20000000000000004,0.030000000000000002,0.23,0.18999999999999997,0.11000000000000001,0.3,0.18999999999999997,0.3,ESP,"FW,MF",La Liga,Las Palmas,5,0
Alberto Moreno,1727.0,19.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.2,1.6,23.0,81.0,58.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,ESP,DF,Serie A,Como,0,0
Alberto Paleari,90.0,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,Serie A,Torino,2,0
Alberto Risco,69.0,0.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,3.0,6.0,0.0,0.0,0.0,0.22,0.19,0.41,0.22,0.41,ESP,"MF,FW",La Liga,Getafe,2,0
Alberto costa,357.0,4.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.2,0.8,8.0,8.0,25.0,0.0,0.25,0.25,0.15,0.05,0.2,0.15,0.2,POR,DF,Serie A,Juventus,2,0
Aleix García,1455.0,16.2,27.0,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,4.9,5.9,27.0,120.0,47.0,0.19,0.25,0.43,0.06,0.3,0.36,0.06,0.36,ESP,MF,Bundesliga,Leverkusen,0,0
Alejandro Balde,2284.0,25.4,20.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,3.4,3.9000000000000004,107.0,93.0,246.0,0.0,0.16,0.16,0.02,0.13,0.15,0.02,0.15,ESP,DF,La Liga,Barcelona,5,0
Alejandro Francés,1173.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.6,18.0,63.0,21.0,0.0,0.0,0.0,0.02,0.03,0.04,0.02,0.04,ESP,DF,La Liga,Girona,2,0
Alejandro Garnacho,2199.0,24.4,20.0,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,7.3,7.3,4.5,11.8,141.0,56.0,290.0,0.25,0.08,0.33,0.3,0.19,0.48,0.3,0.48,ARG,"MF,FW",Premier League,Manchester Utd,5,0
Alejandro Rodriguez,20.0,0.2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POR,MF,Ligue 1,Lyon,2,0
Alejo Véliz,1127.0,12.5,20.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.3,2.3,0.6,2.8,2.0,8.0,27.0,0.08,0.0,0.08,0.18,0.04,0.22,0.18,0.22,ARG,FW,La Liga,Espanyol,2,0
Aleksandar Pavlovic,1451.0,16.1,20.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.19999999999999998,0.7999999999999999,15.0,128.0,33.0,0.060000000000000005,0.0,0.060000000000000005,0.030000000000000002,0.01,0.049999999999999996,0.030000000000000002,0.049999999999999996,GER,MF,Bundesliga,Bayern Munich,0,0
