Player,Min,90s,Age,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Nation,Pos,Comp,Squad,Cluster_KMeans,DBSCAN_Label
Philipp Sander,1400.0,15.6,26.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.6,1.8,16.0,60.0,29.0,0.06,0.0,0.06,0.08,0.04,0.12,0.08,0.12,GER,MF,Bundesliga,Gladbach,2,0
Philipp Treu,2881.0,32.0,23.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,2.5,3.7,58.0,105.0,117.0,0.0,0.06,0.06,0.04,0.08,0.12,0.04,0.12,GER,"MF,DF",Bundesliga,St. Pauli,0,0
Phillip Tietz,1686.0,18.7,27.0,7.0,2.0,9.0,6.0,1.0,1.0,4.0,0.0,6.099999999999999,5.3,1.2,6.5,8.0,29.0,113.0,0.36999999999999994,0.11,0.48,0.33,0.07,0.39000000000000007,0.28,0.3499999999999999,GER,FW,Bundesliga,Augsburg,1,0
Phillipp Mwene,2607.0,29.0,30.0,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0,1.5,1.5,1.9000000000000001,3.4,62.0,106.0,144.0,0.03,0.14,0.17,0.049999999999999996,0.06,0.12,0.049999999999999996,0.12,AUT,DF,Bundesliga,Mainz 05,0,0
Pica,499.0,5.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.4,3.0,15.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.06,0.06,ESP,DF,La Liga,Alavés,2,0
Pierluigi Gollini,630.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ITA,GK,Serie A,Genoa,2,0
Piero Hincapié,2670.0,29.7,22.0,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,2.9,2.9,3.2,6.1,52.0,152.0,72.0,0.07,0.07,0.13,0.1,0.11,0.20999999999999996,0.1,0.20999999999999996,ECU,DF,Bundesliga,Leverkusen,0,0
Pierre Cornud,576.0,6.4,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,11.0,19.0,17.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,FRA,DF,Ligue 1,Saint-Étienne,2,0
Pierre Ekwah Elimby,2575.0,28.6,22.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,1.0,1.7,20.0,146.0,21.0,0.03,0.0,0.03,0.03,0.04,0.06,0.03,0.06,FRA,MF,Ligue 1,Saint-Étienne,0,0
Pierre Højbjerg,2664.0,29.600000000000005,28.0,2.0,4.0,6.0,2.0,0.0,0.0,5.0,0.0,3.2999999999999994,3.2999999999999994,3.9000000000000004,7.099999999999999,36.0,263.0,43.0,0.07,0.14,0.20000000000000004,0.11000000000000001,0.13,0.24000000000000002,0.11000000000000001,0.24000000000000002,DEN,MF,Ligue 1,Marseille,0,0
Pierre Kalulu,2337.0,26.0,24.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.7,0.7,0.5,1.2,48.0,117.0,24.0,0.04,0.0,0.04,0.03,0.02,0.05,0.03,0.05,FRA,DF,Serie A,Juventus,3,0
Pierre Lees-Melou,1526.0,17.0,31.0,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,2.8000000000000003,4.0,23.0,105.0,36.0,0.12000000000000001,0.12000000000000001,0.24000000000000002,0.07,0.16,0.24000000000000002,0.07,0.24000000000000002,FRA,MF,Ligue 1,Brest,0,0
Pierrick Capelle,483.0,5.4,37.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.4,10.0,22.0,17.0,0.0,0.0,0.0,0.04,0.22,0.26,0.04,0.26,FRA,MF,Ligue 1,Angers,0,0
Pietro Comuzzo,2200.0,24.4,19.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.5,0.5,0.6,1.1,14.0,75.0,12.0,0.04,0.0,0.04,0.02,0.02,0.05,0.02,0.05,ITA,DF,Serie A,Fiorentina,0,0
